district,Votes,Codi_Barri,Party,neighborhood
Ciutat Vella,25,1,ALHORA,El Raval
Ciutat Vella,149,1,ALIANÇA.CAT,El Raval
Ciutat Vella,926,1,CAT-JUNTS+,El Raval
Ciutat Vella,1095,1,COMUNS SUMAR,El Raval
Ciutat Vella,448,1,CUP - DT,El Raval
Ciutat Vella,64,1,Cs,El Raval
Ciutat Vella,792,1,ERC,El Raval
Ciutat Vella,18529,1,Electors,El Raval
Ciutat Vella,25,1,FO,El Raval
Ciutat Vella,61,1,IZQP - UNIDOS - DEf,El Raval
Ciutat Vella,77,1,PACMA,El Raval
Ciutat Vella,22,1,PCTC,El Raval
Ciutat Vella,716,1,PP,El Raval
Ciutat Vella,2622,1,PSC,El Raval
Ciutat Vella,14,1,PUM+J,El Raval
Ciutat Vella,13,1,RECORTES CERO,El Raval
Ciutat Vella,504,1,VOX,El Raval
Ciutat Vella,7664,1,Votants,El Raval
Ciutat Vella,65,1,Vots blancs,El Raval
Ciutat Vella,46,1,Vots nuls,El Raval
Ciutat Vella,7618,1,Vots vàlids,El Raval
Ciutat Vella,40,2,ALHORA,Gothic Quarter
Ciutat Vella,69,2,ALIANÇA.CAT,Gothic Quarter
Ciutat Vella,621,2,CAT-JUNTS+,Gothic Quarter
Ciutat Vella,485,2,COMUNS SUMAR,Gothic Quarter
Ciutat Vella,287,2,CUP - DT,Gothic Quarter
Ciutat Vella,29,2,Cs,Gothic Quarter
Ciutat Vella,407,2,ERC,Gothic Quarter
Ciutat Vella,7589,2,Electors,Gothic Quarter
Ciutat Vella,12,2,FO,Gothic Quarter
Ciutat Vella,8,2,IZQP - UNIDOS - DEf,Gothic Quarter
Ciutat Vella,50,2,PACMA,Gothic Quarter
Ciutat Vella,8,2,PCTC,Gothic Quarter
Ciutat Vella,282,2,PP,Gothic Quarter
Ciutat Vella,851,2,PSC,Gothic Quarter
Ciutat Vella,3,2,PUM+J,Gothic Quarter
Ciutat Vella,3,2,RECORTES CERO,Gothic Quarter
Ciutat Vella,157,2,VOX,Gothic Quarter
Ciutat Vella,3345,2,Votants,Gothic Quarter
Ciutat Vella,26,2,Vots blancs,Gothic Quarter
Ciutat Vella,7,2,Vots nuls,Gothic Quarter
Ciutat Vella,3338,2,Vots vàlids,Gothic Quarter
Ciutat Vella,13,3,ALHORA,"""La Barceloneta, Barcelona"""
Ciutat Vella,61,3,ALIANÇA.CAT,"""La Barceloneta, Barcelona"""
Ciutat Vella,594,3,CAT-JUNTS+,"""La Barceloneta, Barcelona"""
Ciutat Vella,331,3,COMUNS SUMAR,"""La Barceloneta, Barcelona"""
Ciutat Vella,139,3,CUP - DT,"""La Barceloneta, Barcelona"""
Ciutat Vella,25,3,Cs,"""La Barceloneta, Barcelona"""
Ciutat Vella,556,3,ERC,"""La Barceloneta, Barcelona"""
Ciutat Vella,7445,3,Electors,"""La Barceloneta, Barcelona"""
Ciutat Vella,15,3,FO,"""La Barceloneta, Barcelona"""
Ciutat Vella,1,3,IZQP - UNIDOS - DEf,"""La Barceloneta, Barcelona"""
Ciutat Vella,53,3,PACMA,"""La Barceloneta, Barcelona"""
Ciutat Vella,8,3,PCTC,"""La Barceloneta, Barcelona"""
Ciutat Vella,305,3,PP,"""La Barceloneta, Barcelona"""
Ciutat Vella,1029,3,PSC,"""La Barceloneta, Barcelona"""
Ciutat Vella,3,3,PUM+J,"""La Barceloneta, Barcelona"""
Ciutat Vella,7,3,RECORTES CERO,"""La Barceloneta, Barcelona"""
Ciutat Vella,226,3,VOX,"""La Barceloneta, Barcelona"""
Ciutat Vella,3405,3,Votants,"""La Barceloneta, Barcelona"""
Ciutat Vella,22,3,Vots blancs,"""La Barceloneta, Barcelona"""
Ciutat Vella,17,3,Vots nuls,"""La Barceloneta, Barcelona"""
Ciutat Vella,3388,3,Vots vàlids,"""La Barceloneta, Barcelona"""
Ciutat Vella,35,4,ALHORA,
Ciutat Vella,85,4,ALIANÇA.CAT,
Ciutat Vella,895,4,CAT-JUNTS+,
Ciutat Vella,771,4,COMUNS SUMAR,
Ciutat Vella,341,4,CUP - DT,
Ciutat Vella,37,4,Cs,
Ciutat Vella,583,4,ERC,
Ciutat Vella,10276,4,Electors,
Ciutat Vella,12,4,FO,
Ciutat Vella,4,4,IZQP - UNIDOS - DEf,
Ciutat Vella,67,4,PACMA,
Ciutat Vella,11,4,PCTC,
Ciutat Vella,445,4,PP,
Ciutat Vella,1532,4,PSC,
Ciutat Vella,6,4,PUM+J,
Ciutat Vella,2,4,RECORTES CERO,
Ciutat Vella,249,4,VOX,
Ciutat Vella,5129,4,Votants,
Ciutat Vella,31,4,Vots blancs,
Ciutat Vella,23,4,Vots nuls,
Ciutat Vella,5106,4,Vots vàlids,
Eixample,63,5,ALHORA,Fort Pienc
Eixample,284,5,ALIANÇA.CAT,Fort Pienc
Eixample,2868,5,CAT-JUNTS+,Fort Pienc
Eixample,1201,5,COMUNS SUMAR,Fort Pienc
Eixample,669,5,CUP - DT,Fort Pienc
Eixample,112,5,Cs,Fort Pienc
Eixample,1707,5,ERC,Fort Pienc
Eixample,20453,5,Electors,Fort Pienc
Eixample,15,5,FO,Fort Pienc
Eixample,0,5,IZQP - UNIDOS - DEf,Fort Pienc
Eixample,91,5,PACMA,Fort Pienc
Eixample,8,5,PCTC,Fort Pienc
Eixample,1597,5,PP,Fort Pienc
Eixample,3229,5,PSC,Fort Pienc
Eixample,10,5,PUM+J,Fort Pienc
Eixample,8,5,RECORTES CERO,Fort Pienc
Eixample,594,5,VOX,Fort Pienc
Eixample,12650,5,Votants,Fort Pienc
Eixample,126,5,Vots blancs,Fort Pienc
Eixample,68,5,Vots nuls,Fort Pienc
Eixample,12582,5,Vots vàlids,Fort Pienc
Eixample,154,6,ALHORA,Sagrada Família
Eixample,515,6,ALIANÇA.CAT,Sagrada Família
Eixample,5020,6,CAT-JUNTS+,Sagrada Família
Eixample,1948,6,COMUNS SUMAR,Sagrada Família
Eixample,1047,6,CUP - DT,Sagrada Família
Eixample,158,6,Cs,Sagrada Família
Eixample,3054,6,ERC,Sagrada Família
Eixample,33617,6,Electors,Sagrada Família
Eixample,33,6,FO,Sagrada Família
Eixample,4,6,IZQP - UNIDOS - DEf,Sagrada Família
Eixample,194,6,PACMA,Sagrada Família
Eixample,20,6,PCTC,Sagrada Família
Eixample,2411,6,PP,Sagrada Família
Eixample,5443,6,PSC,Sagrada Família
Eixample,12,6,PUM+J,Sagrada Família
Eixample,21,6,RECORTES CERO,Sagrada Família
Eixample,956,6,VOX,Sagrada Família
Eixample,21295,6,Votants,Sagrada Família
Eixample,192,6,Vots blancs,Sagrada Família
Eixample,113,6,Vots nuls,Sagrada Família
Eixample,21182,6,Vots vàlids,Sagrada Família
Eixample,124,7,ALHORA,Dreta de l'Eixample
Eixample,379,7,ALIANÇA.CAT,Dreta de l'Eixample
Eixample,5081,7,CAT-JUNTS+,Dreta de l'Eixample
Eixample,1607,7,COMUNS SUMAR,Dreta de l'Eixample
Eixample,890,7,CUP - DT,Dreta de l'Eixample
Eixample,101,7,Cs,Dreta de l'Eixample
Eixample,2014,7,ERC,Dreta de l'Eixample
Eixample,26816,7,Electors,Dreta de l'Eixample
Eixample,23,7,FO,Dreta de l'Eixample
Eixample,4,7,IZQP - UNIDOS - DEf,Dreta de l'Eixample
Eixample,140,7,PACMA,Dreta de l'Eixample
Eixample,6,7,PCTC,Dreta de l'Eixample
Eixample,2525,7,PP,Dreta de l'Eixample
Eixample,3955,7,PSC,Dreta de l'Eixample
Eixample,12,7,PUM+J,Dreta de l'Eixample
Eixample,10,7,RECORTES CERO,Dreta de l'Eixample
Eixample,759,7,VOX,Dreta de l'Eixample
Eixample,17870,7,Votants,Dreta de l'Eixample
Eixample,162,7,Vots blancs,Dreta de l'Eixample
Eixample,78,7,Vots nuls,Dreta de l'Eixample
Eixample,17792,7,Vots vàlids,Dreta de l'Eixample
Eixample,130,8,ALHORA,L'Antiga Esquerra de l'Eixample
Eixample,377,8,ALIANÇA.CAT,L'Antiga Esquerra de l'Eixample
Eixample,4513,8,CAT-JUNTS+,L'Antiga Esquerra de l'Eixample
Eixample,1437,8,COMUNS SUMAR,L'Antiga Esquerra de l'Eixample
Eixample,774,8,CUP - DT,L'Antiga Esquerra de l'Eixample
Eixample,127,8,Cs,L'Antiga Esquerra de l'Eixample
Eixample,1985,8,ERC,L'Antiga Esquerra de l'Eixample
Eixample,26914,8,Electors,L'Antiga Esquerra de l'Eixample
Eixample,18,8,FO,L'Antiga Esquerra de l'Eixample
Eixample,8,8,IZQP - UNIDOS - DEf,L'Antiga Esquerra de l'Eixample
Eixample,141,8,PACMA,L'Antiga Esquerra de l'Eixample
Eixample,10,8,PCTC,L'Antiga Esquerra de l'Eixample
Eixample,2603,8,PP,L'Antiga Esquerra de l'Eixample
Eixample,4161,8,PSC,L'Antiga Esquerra de l'Eixample
Eixample,13,8,PUM+J,L'Antiga Esquerra de l'Eixample
Eixample,7,8,RECORTES CERO,L'Antiga Esquerra de l'Eixample
Eixample,902,8,VOX,L'Antiga Esquerra de l'Eixample
Eixample,17469,8,Votants,L'Antiga Esquerra de l'Eixample
Eixample,163,8,Vots blancs,L'Antiga Esquerra de l'Eixample
Eixample,100,8,Vots nuls,L'Antiga Esquerra de l'Eixample
Eixample,17369,8,Vots vàlids,L'Antiga Esquerra de l'Eixample
Eixample,195,9,ALHORA,La Nova Esquerra de l'Eixample
Eixample,531,9,ALIANÇA.CAT,La Nova Esquerra de l'Eixample
Eixample,6294,9,CAT-JUNTS+,La Nova Esquerra de l'Eixample
Eixample,2245,9,COMUNS SUMAR,La Nova Esquerra de l'Eixample
Eixample,1103,9,CUP - DT,La Nova Esquerra de l'Eixample
Eixample,155,9,Cs,La Nova Esquerra de l'Eixample
Eixample,3211,9,ERC,La Nova Esquerra de l'Eixample
Eixample,38948,9,Electors,La Nova Esquerra de l'Eixample
Eixample,41,9,FO,La Nova Esquerra de l'Eixample
Eixample,6,9,IZQP - UNIDOS - DEf,La Nova Esquerra de l'Eixample
Eixample,188,9,PACMA,La Nova Esquerra de l'Eixample
Eixample,36,9,PCTC,La Nova Esquerra de l'Eixample
Eixample,3393,9,PP,La Nova Esquerra de l'Eixample
Eixample,6074,9,PSC,La Nova Esquerra de l'Eixample
Eixample,21,9,PUM+J,La Nova Esquerra de l'Eixample
Eixample,18,9,RECORTES CERO,La Nova Esquerra de l'Eixample
Eixample,1322,9,VOX,La Nova Esquerra de l'Eixample
Eixample,25222,9,Votants,La Nova Esquerra de l'Eixample
Eixample,240,9,Vots blancs,La Nova Esquerra de l'Eixample
Eixample,149,9,Vots nuls,La Nova Esquerra de l'Eixample
Eixample,25073,9,Vots vàlids,La Nova Esquerra de l'Eixample
Eixample,104,10,ALHORA,Sant Antoni
Eixample,390,10,ALIANÇA.CAT,Sant Antoni
Eixample,3832,10,CAT-JUNTS+,Sant Antoni
Eixample,1811,10,COMUNS SUMAR,Sant Antoni
Eixample,876,10,CUP - DT,Sant Antoni
Eixample,91,10,Cs,Sant Antoni
Eixample,2145,10,ERC,Sant Antoni
Eixample,24484,10,Electors,Sant Antoni
Eixample,26,10,FO,Sant Antoni
Eixample,2,10,IZQP - UNIDOS - DEf,Sant Antoni
Eixample,148,10,PACMA,Sant Antoni
Eixample,18,10,PCTC,Sant Antoni
Eixample,1500,10,PP,Sant Antoni
Eixample,3886,10,PSC,Sant Antoni
Eixample,12,10,PUM+J,Sant Antoni
Eixample,7,10,RECORTES CERO,Sant Antoni
Eixample,615,10,VOX,Sant Antoni
Eixample,15664,10,Votants,Sant Antoni
Eixample,130,10,Vots blancs,Sant Antoni
Eixample,71,10,Vots nuls,Sant Antoni
Eixample,15593,10,Vots vàlids,Sant Antoni
Sants-Montjuïc,54,11,ALHORA,
Sants-Montjuïc,276,11,ALIANÇA.CAT,
Sants-Montjuïc,1849,11,CAT-JUNTS+,
Sants-Montjuïc,1679,11,COMUNS SUMAR,
Sants-Montjuïc,714,11,CUP - DT,
Sants-Montjuïc,67,11,Cs,
Sants-Montjuïc,1677,11,ERC,
Sants-Montjuïc,21882,11,Electors,
Sants-Montjuïc,40,11,FO,
Sants-Montjuïc,7,11,IZQP - UNIDOS - DEf,
Sants-Montjuïc,141,11,PACMA,
Sants-Montjuïc,12,11,PCTC,
Sants-Montjuïc,1042,11,PP,
Sants-Montjuïc,3329,11,PSC,
Sants-Montjuïc,6,11,PUM+J,
Sants-Montjuïc,13,11,RECORTES CERO,
Sants-Montjuïc,570,11,VOX,
Sants-Montjuïc,11596,11,Votants,
Sants-Montjuïc,74,11,Vots blancs,
Sants-Montjuïc,46,11,Vots nuls,
Sants-Montjuïc,11550,11,Vots vàlids,
Sants-Montjuïc,1,12,ALHORA,La Marina del Prat Vermell
Sants-Montjuïc,6,12,ALIANÇA.CAT,La Marina del Prat Vermell
Sants-Montjuïc,37,12,CAT-JUNTS+,La Marina del Prat Vermell
Sants-Montjuïc,47,12,COMUNS SUMAR,La Marina del Prat Vermell
Sants-Montjuïc,18,12,CUP - DT,La Marina del Prat Vermell
Sants-Montjuïc,1,12,Cs,La Marina del Prat Vermell
