district,neighborhood,RFD,pop,year
Ciutat Vella,El Raval,65.0,48485,2011
Ciutat Vella,Gothic Quarter,98.8,17257,2011
Ciutat Vella,"""La Barceloneta, Barcelona""",73.1,15674,2011
Ciutat Vella,,86.1,22632,2011
Eixample,Fort Pienc,97.9,32348,2011
Eixample,Sagrada Família,96.1,52000,2011
Eixample,Dreta de l'Eixample,151.7,43206,2011
Eixample,L'Antiga Esquerra de l'Eixample,121.3,41653,2011
Eixample,La Nova Esquerra de l'Eixample,107.7,57659,2011
Eixample,Sant Antoni,95.9,38130,2011
Sants-Montjuïc,"""El Poble-sec, Barcelona""",73.0,40704,2011
Sants-Montjuïc,La Marina del Prat Vermell,53.0,1065,2011
Sants-Montjuïc,La Marina de Port,70.8,30290,2011
Sants-Montjuïc,La Font de la Guatlla,74.6,10222,2011
Sants-Montjuïc,Hostafrancs,76.1,15955,2011
Sants-Montjuïc,La Bordeta,71.1,18431,2011
Sants-Montjuïc,Sants-Badal,77.1,24431,2011
Sants-Montjuïc,Sants,86.4,41666,2011
Les Corts,Les Corts,126.9,46953,2011
Les Corts,La Maternitat i Sant Ramon,110.6,23758,2011
Les Corts,Pedralbes,246.0,11629,2011
Sarrià-Sant Gervasi,,165.9,4355,2011
Sarrià-Sant Gervasi,Sarrià,180.7,24153,2011
Sarrià-Sant Gervasi,Les Tres Torres,216.4,15700,2011
Sarrià-Sant Gervasi,Sant Gervasi – la Bonanova,190.7,24432,2011
Sarrià-Sant Gervasi,Sant Gervasi – Galvany,177.7,46207,2011
Sarrià-Sant Gervasi,El Putxet i el Farró,138.0,29941,2011
Gràcia,Vallcarca i els Penitents,114.4,15396,2011
Gràcia,el Coll,97.3,7296,2011
Gràcia,La Salut,109.8,13199,2011
Gràcia,Vila de Gràcia,106.4,51037,2011
Gràcia,Camp d'en Grassot i Gràcia Nova,98.2,34497,2011
Horta-Guinardó,El Baix Guinardó,89.9,25972,2011
Horta-Guinardó,Can Baró,74.4,8984,2011
Horta-Guinardó,El Guinardó,85.8,35673,2011
Horta-Guinardó,La Font d'en Fargues,97.0,9495,2011
Horta-Guinardó,El Carmel,62.4,32425,2011
Horta-Guinardó,La Teixonera,69.0,11420,2011
Horta-Guinardó,Sant Genís dels Agudells,81.2,6977,2011
Horta-Guinardó,Montbau,71.1,5191,2011
Horta-Guinardó,Vall d'Hebron,89.1,5580,2011
Horta-Guinardó,La Clota,79.5,472,2011
Horta-Guinardó,"""Horta, Barcelona""",78.2,27312,2011
Nou Barris,Vilapicina i la Torre Llobeta,72.3,25515,2011
Nou Barris,Porta,63.9,24909,2011
Nou Barris,El Turó de la Peira,58.6,15270,2011
Nou Barris,Can Peguera,52.7,2249,2011
Nou Barris,La Guineueta,58.9,15294,2011
Nou Barris,Canyelles,70.2,7170,2011
Nou Barris,Les Roquetes,53.8,16050,2011
Nou Barris,Verdun,53.3,12396,2011
Nou Barris,La Prosperitat,61.3,26594,2011
Nou Barris,La Trinitat Nova,40.3,7682,2011
Nou Barris,Torre Baró,54.5,2193,2011
Nou Barris,Ciutat Meridiana,39.9,10832,2011
Nou Barris,Vallbona,53.2,1381,2011
Sant Andreu,Trinitat Vella,49.4,10372,2011
Sant Andreu,Baró de Viver,50.8,2343,2011
Sant Andreu,Bon Pastor,63.0,13374,2011
Sant Andreu,Sant Andreu de Palomar,78.0,55902,2011
Sant Andreu,La Sagrera,76.7,29136,2011
Sant Andreu,El Congrés i els Indians,72.9,14063,2011
Sant Andreu,Navas,74.8,21758,2011
Sant Martí,El Camp de l'Arpa del Clot,82.3,37957,2011
Sant Martí,El Clot,80.0,27114,2011
Sant Martí,El Parc i la Llacuna del Poblenou,90.9,13772,2011
Sant Martí,La Vila Olímpica del Poblenou,146.0,9191,2011
Sant Martí,El Poblenou,89.2,32208,2011
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,122.3,12289,2011
Sant Martí,El Besòs i el Maresme,52.9,23998,2011
Sant Martí,Provençals del Poblenou,84.3,19732,2011
Sant Martí,Sant Martí de Provençals,65.0,26178,2011
Sant Martí,La Verneda i la Pau,61.8,29131,2011
